Aplicación,Categoría,Tiempo de uso (min),Consultas,Notificaciones
Instagram,Redes Sociales,326,117,79
WhatsApp,Redes Sociales,318,357,654
Waze,Viajes,160,20,3
Chess,Juegos,27,3,5
Facebook,Redes Sociales,8,2,0
Safari,Otros,74,25,0
TikTok,Redes Sociales,0,0,43
Outlook,Productividad y Fiananzas,32,19,0
Duolingo,Educación,22,5,3
Gmail,Productividad y Fiananzas,60,27,67
Balanz,Productividad y Fiananzas,11,6,6
Google Maps,Viajes,2,2,3
Mercado Libre,Compras,8,3,2
Patagonia Movil,Productividad y Fiananzas,6,4,2
X,Redes Sociales,22,1,2
Mercado Pago,Productividad y Fiananzas,20,14,3
You Tube Music,Ocio,4,2,1
App YPF,Productividad y Fiananzas,0,0,0
ICBC,Productividad y Fiananzas,1,1,0
LinkendIn,Redes Sociales,10,3,0
ChatGPT,Productividad y Fiananzas,1,1,0
Autenticación de Usuario,Otros,3,1,0
Personal Pay,Productividad y Fiananzas,2,1,3
Calendario,Productividad y Fiananzas,2,3,1
Calculadora,Otros,4,3,0
Clima,Información,3,7,0
La Caja,Productividad y Fiananzas,0,0,0
Flow,Ocio,60,2,3
Despegar,Viajes,0,0,0
You Tube,Ocio,18,1,0
Cámara,Otros,5,5,0
Investing,Productividad y Fiananzas,5,1,0
