Aplicación,Categoría,Tiempo de uso (min),Consultas,Notificaciones
Instagram,Redes Sociales,556,141,93
WhatsApp,Redes Sociales,315,305,505
Waze,Viajes,162,17,2
Chess,Juegos,3,2,2
Facebook,Redes Sociales,2,7,0
Safari,Otros,"1,5",22,0
TikTok,Redes Sociales,36,2,23
Outlook,Productividad y Fiananzas,25,23,22
Duolingo,Educación,22,8,3
Gmail,Productividad y Fiananzas,17,11,25
Balanz,Productividad y Fiananzas,15,4,3
Google Maps,Viajes,12,3,3
Mercado Libre,Compras,11,12,12
Patagonia Movil,Productividad y Fiananzas,11,1,4
X,Redes Sociales,9,2,1
Mercado Pago,Productividad y Fiananzas,7,5,1
You Tube Music,Ocio,6,1,2
App YPF,Productividad y Fiananzas,6,4,2
ICBC,Productividad y Fiananzas,5,2,0
LinkendIn,Redes Sociales,4,1,5
ChatGPT,Productividad y Fiananzas,4,1,0
Autenticación de Usuario,Otros,3,1,0
Personal Pay,Productividad y Fiananzas,3,1,1
Calendario,Productividad y Fiananzas,3,2,2
Calculadora,Otros,2,2,0
Clima,Información,2,4,0
La Caja,Productividad y Fiananzas,1,1,0
Flow,Ocio,1,1,1
Despegar,Viajes,"0,5",1,0
You Tube,Ocio,0,0,0
Cámara,Otros,0,0,0
Investing,Productividad y Fiananzas,0,0,0
